dates,GDPC1,CPIAUCSL,FEDFUNDS,M2,BAA10YM,PCEPILFE,PCEPI,UNRATE
1971-10-01,5154.547,41,4.75,704.433333333333,2.52333333333333,23.3856666666667,22.068,5.93333333333333
1972-01-01,5249.337,41.3333333333333,3.54666666666667,725.633333333333,2.2,23.6096666666667,22.3006666666667,5.76666666666667
1972-04-01,5368.485,41.6,4.3,743.8,2.08,23.7693333333333,22.4296666666667,5.7
1972-07-01,5419.184,41.9333333333333,4.74333333333333,768.833333333333,1.88,23.948,22.6266666666667,5.56666666666667
1972-10-01,5509.926,42.3666666666667,5.14666666666667,794.366666666667,1.62,24.0983333333333,22.8106666666667,5.36666666666667
1973-01-01,5646.286,43.0333333333333,6.53666666666667,813.233333333333,1.36333333333333,24.2663333333333,23.086,4.93333333333333
1973-04-01,5707.755,43.9333333333333,7.81666666666667,826.6,1.28666666666667,24.5966666666667,23.5296666666667,4.93333333333333
1973-07-01,5677.738,44.8,10.56,838.2,1.26,24.924,23.958,4.8
1973-10-01,5731.632,45.9333333333333,9.99666666666667,849,1.68333333333333,25.2703333333333,24.4486666666667,4.76666666666667
1974-01-01,5682.353,47.3,9.32333333333333,864.666666666667,1.49,25.7043333333333,25.1756666666667,5.13333333333333
1974-04-01,5695.859,48.5666666666667,11.25,875.1,1.52,26.3433333333333,25.8886666666667,5.2
1974-07-01,5642.025,49.9333333333333,12.09,884.466666666667,1.84666666666667,27.0963333333333,26.5873333333333,5.63333333333333
1974-10-01,5620.126,51.4666666666667,9.34666666666667,898,2.9,27.7583333333333,27.263,6.6
1975-01-01,5551.713,52.5666666666667,6.30333333333333,915.133333333333,3.10666666666667,28.301,27.7763333333333,8.26666666666667
1975-04-01,5591.382,53.2,5.42,948.666666666667,2.58,28.7316666666667,28.1166666666667,8.86666666666667
1975-07-01,5687.087,54.2666666666667,6.16,983.233333333333,2.28666666666667,29.1633333333333,28.6433333333333,8.46666666666667
1975-10-01,5763.665,55.2666666666667,5.41333333333333,1006.96666666667,2.51666666666667,29.638,29.1236666666667,8.3
1976-01-01,5893.276,55.9,4.82666666666667,1038.96666666667,2.50333333333333,30.0886666666667,29.4443333333333,7.73333333333333
1976-04-01,5936.515,56.4,5.19666666666667,1070.16666666667,2.12333333333333,30.449,29.6906666666667,7.56666666666667
1976-07-01,5969.089,57.3,5.28333333333333,1098.6,1.89,30.9263333333333,30.1416666666667,7.73333333333333
1976-10-01,6012.356,58.1333333333333,4.87333333333333,1138.4,2.02333333333333,31.41,30.618,7.76666666666667
1977-01-01,6083.391,59.2,4.66,1177.1,1.75333333333333,31.9383333333333,31.1706666666667,7.5
1977-04-01,6201.659,60.2333333333333,5.15666666666667,1208.8,1.62666666666667,32.427,31.7036666666667,7.13333333333333
1977-07-01,6313.559,61.0666666666667,5.82,1236.63333333333,1.47333333333333,32.9663333333333,32.1806666666667,6.9
1977-10-01,6313.697,61.9666666666667,6.51333333333333,1262.23333333333,1.34666666666667,33.4453333333333,32.6383333333333,6.66666666666667
1978-01-01,6333.848,63.0333333333333,6.75666666666667,1285.8,1.18666666666667,33.967,33.1736666666667,6.33333333333333
1978-04-01,6578.605,64.4666666666667,7.28333333333333,1309.8,1.15,34.553,33.8546666666667,6
1978-07-01,6644.754,65.9666666666667,8.1,1334.2,1.01,35.1456666666667,34.4496666666667,6.03333333333333
1978-10-01,6734.069,67.5,9.58333333333333,1359.13333333333,0.966666666666667,35.777,35.1003333333333,5.9
1979-01-01,6746.176,69.2,10.0733333333333,1379.06666666667,1.05,36.2656666666667,35.7616666666667,5.86666666666667
1979-04-01,6753.389,71.4,10.18,1411.76666666667,1.28,37.0626666666667,36.7383333333333,5.7
1979-07-01,6803.558,73.7,10.9466666666667,1445.16666666667,1.29,37.747,37.6503333333333,5.86666666666667
1979-10-01,6820.572,76.0333333333333,13.5766666666667,1466.66666666667,1.37,38.5346666666667,38.5613333333333,5.96666666666667
1980-01-01,6842.024,79.0333333333333,15.0466666666667,1492.36666666667,1.49333333333333,39.477,39.7193333333333,6.3
1980-04-01,6701.046,81.7,12.6866666666667,1514.56666666667,2.88,40.36,40.691,7.33333333333333
1980-07-01,6693.082,83.2333333333333,9.83666666666667,1560.33333333333,2.21333333333333,41.2586666666667,41.6426666666667,7.66666666666667
1980-10-01,6817.903,85.5666666666667,15.8533333333333,1593.46666666667,2.24666666666667,42.264,42.6733333333333,7.4
1981-01-01,6951.495,87.9333333333333,16.57,1620.73333333333,2.28666666666667,43.2013333333333,43.7803333333333,7.43333333333333
1981-04-01,6899.98,89.7666666666667,17.78,1664.56666666667,2.02,44.018,44.5146666666667,7.4
